plotID,site,treatment,year,acerpe,acerru,acersa,actapa,aristr,berbth,betual,careap,carela,caresp,carpca,caryco,dennpu,dryoca,erytam,eurydi,fraxam,galiap,galitr,impaca,maiaca,maiara,onocse,ostrvi,partqu,polyac,polybi,prunse,querru,ranuab,ribela,rubual,solicae,tiliam,toxira,violsp
2017-Spr-HF-I-1,HF,Invaded,2017,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,27,0,0,0,0,0,0,0,0
2017-Spr-HF-I-2,HF,Invaded,2017,0,1,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,2,0,0,0,0,0,0,0
2017-Spr-HF-I-3,HF,Invaded,2017,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0
2017-Spr-HF-P-1,HF,Eradicated,2017,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
2017-Spr-HF-P-2,HF,Eradicated,2017,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0
2017-Spr-HF-P-3,HF,Eradicated,2017,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,1
2017-Spr-HF-U-1,HF,Control,2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,6,2,0,0,0,0,0,0,0
2017-Spr-HF-U-2,HF,Control,2017,0,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,7,0,0,0,2,72,0,0,0,0,0,0,0,0
2017-Spr-HF-U-3,HF,Control,2017,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,2,0,0,0,1,8,2,0,0,0,0,0,13,0
2017-Spr-MC-I-1,MC,Invaded,2017,0,0,18,0,6,0,0,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,53,1,0,0,5,0,0,0,0
2017-Spr-MC-I-2,MC,Invaded,2017,0,1,34,0,0,0,1,7,3,0,0,5,0,0,0,0,31,0,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,0
2017-Spr-MC-I-3,MC,Invaded,2017,0,0,16,0,20,0,0,0,0,0,0,0,0,0,74,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-Spr-MC-P-1,MC,Eradicated,2017,0,0,4,0,1,0,1,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,2,0,0,0
2017-Spr-MC-P-2,MC,Eradicated,2017,0,0,7,0,19,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,1,0,3,0,4,2,0,0,0
2017-Spr-MC-P-3,MC,Eradicated,2017,0,1,9,0,8,0,0,0,0,0,0,1,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0
2017-Spr-MC-U-1,MC,Control,2017,0,0,7,0,0,0,0,0,0,0,0,2,0,0,847,0,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2017-Spr-MC-U-2,MC,Control,2017,0,2,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-Spr-MC-U-3,MC,Control,2017,0,2,5,0,1,0,0,0,0,0,0,1,0,0,105,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
